Site.ID,Wetland Subclass LUCAS,FoliageStock,RootStock,AGVFStock,BGVFStock,BGSStock,FoliageNPP,RootNPP,BGVFPercentLoss,Burial210Pb TC.g.m.2,MethaneFlux,ExternalVariableValue,AGVFPercentLoss,TotalLatTrans_Amount,externalVariableLat,externalVariableLatSite,TotalNPP_Amount,SedimentTransport_Amount,FoliageGrowth_PropTotalNPP,RootGrowth_PropTotalNPP,FoliageMaxStock,FoliageMortality_PropMaxStock,FoliageMortality_Amount,RootMaxStock,RootMortality_PropMaxStock,RootMortality_Amount,AGVFMaxStock,AGVFOut_PropMaxStock,AGVFOut_Amount,AGVFStabilization_PropOut,AGVFStabilization_Amount,AGVFStabilization_PropMaxStock,BGVFMaxStock,BGVFOut_PropMaxStock,BGVFOut_Amount,BGVFStabilization_PropOut,BGVFStabilization_Amount,BGVFStabilization_PropMaxStock,BGSDeposition,BGSIn_Amount,BGSMaxStock,BGSOut_PropMaxStock,BGSOut_Amount,TotalOut_Amount,AGVFOut_PropOut,BGVFOut_PropOut,BGSOut_PropOut,TotalMaxStock,AGVFMaxStock_PropMaxStock,BGVFMaxStock_PropMaxStock,BGSMaxStock_PropMaxStock,BGSStabilization_PropOut,BGSStabilization_Amount,BGSStabilization_PropMaxStock,TotalStabilization_Amount,AGVFEmissionLatTrans_Amount,BGVFEmissionLatTrans_Amount,BGSEmissionLatTrans_Amount,TotalEmissionLatTrans_Amount,TotalLatTrans_PropEmissionLatTrans,AGVFLatTrans_Amount,BGVFLatTrans_Amount,BGSLatTrans_Amount,AGVFLatTrans_PropMaxStock,BGVFLatTrans_PropMaxStock,BGSLatTrans_PropMaxStock,AGVFLatTrans_PropOut,BGVFLatTrans_PropOut,BGSLatTrans_PropOut,AGVFEmission_Amount,BGVFEmission_Amount,BGSEmission_Amount,AGVFEmission_PropMaxStock,BGVFEmission_PropMaxStock,BGSEmission_PropMaxStock,AGVFEmission_PropOut,BGVFEmission_PropOut,BGSEmission_PropOut,outAGVFCheck,outBGVFCheck,outBGSCheck,massBalanceCheck,checkAGVFratio,checkBGVFratio,checkBGSratio,checkpropAGVF
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,123,6,38,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.0877,10.5373,43.507,68.9557,0.0412,0.0163,0.0018,0.0675,0.0315,0.0749,109.5784,452.4353,717.0795,0.4285,0.1698,0.0185,0.702,0.3278,0.7791,0,0,0,0,10.3991,10.3991,10.3991,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,156,4,56,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.1113,13.3643,55.1796,87.456,0.0523,0.0207,0.0023,0.0856,0.04,0.095,106.7513,440.7627,698.5792,0.4174,0.1654,0.018,0.6839,0.3193,0.759,0,0,-0,0,7.9878,7.9878,7.9878,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,175,2,74,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.1248,14.992,61.9002,98.1077,0.0586,0.0232,0.0025,0.096,0.0448,0.1066,105.1236,434.0421,687.9275,0.4111,0.1629,0.0177,0.6735,0.3145,0.7475,0,0,0,0,7.012,7.012,7.012,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,201,8,92,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.1434,17.2194,71.0968,112.6837,0.0673,0.0267,0.0029,0.1103,0.0515,0.1224,102.8962,424.8455,673.3515,0.4024,0.1594,0.0173,0.6592,0.3078,0.7316,0,0,0,0,5.9756,5.9756,5.9756,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,320,5,110,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.2282,27.414,113.189,179.397,0.1072,0.0425,0.0046,0.1756,0.082,0.1949,92.7016,382.7533,606.6382,0.3625,0.1436,0.0156,0.5939,0.2773,0.6591,0,0,-0,0,3.3815,3.3815,3.3815,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,414,1,128,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.2953,35.4669,146.4383,232.0948,0.1387,0.0549,0.006,0.2272,0.1061,0.2522,84.6488,349.504,553.9404,0.331,0.1311,0.0143,0.5423,0.2532,0.6019,0,0,0,0,2.3867,2.3867,2.3867,9e-4
CRMS0175,Wetland: Estuarine Emergent,19.5014,225.5661,99.6337,1284.6989,37892.0709,156.0924,1380.3128,0.3593,134.3121,0,1,0.7695,456,3,146,1536.4052,0,0.1016,0.8984,175.5938,0.8889,156.0924,1605.8789,0.8595,1380.3128,255.7261,0.6104,156.0924,0.2305,35.9768,0.1407,2665.0117,0.5179,1380.3128,0.6407,884.3705,0.3318,0,920.3473,38812.4182,0.0237,920.3473,2456.7525,0.0635,0.5618,0.3746,41733.156,0.0061,0.0639,0.93,0.1459,134.3121,0.0035,1054.6594,120.1157,495.9423,786.0352,1402.0932,0.3252,39.065,161.2943,255.6407,0.1528,0.0605,0.0066,0.2503,0.1169,0.2778,81.0507,334.648,530.3945,0.3169,0.1256,0.0137,0.5192,0.2424,0.5763,0,0,-0,0,2.0748,2.0748,2.0748,9e-4
CRMS0211,Wetland: Palustrine Emergent,32.2195,505.1845,265.1979,1286.3314,49762.3521,401.8266,2228.0608,0.4261,198.4919,14.5,1,0.6289,-22.7,1,1,2629.8874,0,0.1528,0.8472,434.0461,0.9258,401.8266,2733.2453,0.8152,2228.0608,667.0245,0.6024,401.8266,0.3711,149.1055,0.2235,3514.3922,0.634,2228.0608,0.5739,1278.7702,0.3639,0,1427.8757,51190.2279,0.0279,1427.8757,4057.7631,0.099,0.5491,0.3519,55371.6446,0.012,0.0635,0.9245,0.139,198.4919,0.0039,1626.3677,252.721,949.2906,1229.3838,2431.3955,-0.0093,-2.3595,-8.8628,-11.4778,-0.0035,-0.0025,-2e-4,-0.0059,-0.004,-0.008,255.0805,958.1534,1240.8616,0.3824,0.2726,0.0242,0.6348,0.43,0.869,0,-0,0,-0,-108.1099,-108.1099,-108.1099,0.0038
CRMS0211,Wetland: Palustrine Emergent,32.2195,505.1845,265.1979,1286.3314,49762.3521,401.8266,2228.0608,0.4261,198.4919,14.5,1,0.6289,73,3,7,2629.8874,0,0.1528,0.8472,434.0461,0.9258,401.8266,2733.2453,0.8152,2228.0608,667.0245,0.6024,401.8266,0.3711,149.1055,0.2235,3514.3922,0.634,2228.0608,0.5739,1278.7702,0.3639,0,1427.8757,51190.2279,0.0279,1427.8757,4057.7631,0.099,0.5491,0.3519,55371.6446,0.012,0.0635,0.9245,0.139,198.4919,0.0039,1626.3677,252.721,949.2906,1229.3838,2431.3955,0.03,7.5877,28.5014,36.9109,0.0114,0.0081,7e-4,0.0189,0.0128,0.0259,245.1334,920.7892,1192.4729,0.3675,0.262,0.0233,0.61,0.4133,0.8351,0,-0,0,-0,32.3068,32.3068,32.3068,0.0038
CRMS0211,Wetland: Palustrine Emergent,32.2195,505.1845,265.1979,1286.3314,49762.3521,401.8266,2228.0608,0.4261,198.4919,14.5,1,0.6289,197,2,13,2629.8874,0,0.1528,0.8472,434.0461,0.9258,401.8266,2733.2453,0.8152,2228.0608,667.0245,0.6024,401.8266,0.3711,149.1055,0.2235,3514.3922,0.634,2228.0608,0.5739,1278.7702,0.3639,0,1427.8757,51190.2279,0.0279,1427.8757,4057.7631,0.099,0.5491,0.3519,55371.6446,0.012,0.0635,0.9245,0.139,198.4919,0.0039,1626.3677,252.721,949.2906,1229.3838,2431.3955,0.081,20.4763,76.9148,99.6089,0.0307,0.0219,0.0019,0.051,0.0345,0.0698,232.2447,872.3758,1129.7749,0.3482,0.2482,0.0221,0.578,0.3915,0.7912,0,-0,0,-0,11.3421,11.3421,11.3421,0.0038
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,10,7,3,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0034,1.9535,3.084,4.9626,0.002,7e-4,1e-4,0.0029,0.0013,0.003,565.2841,892.4248,1436.0467,0.5699,0.2047,0.0302,0.8532,0.3656,0.8754,-0,0,0,0,289.3756,289.3756,289.3756,0.0029
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,105,9,21,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0362,20.5113,32.3817,52.107,0.0207,0.0074,0.0011,0.031,0.0133,0.0318,546.7262,863.1271,1388.9023,0.5512,0.198,0.0292,0.8252,0.3536,0.8466,0,0,0,0,26.6548,26.6548,26.6548,0.0029
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,123,6,39,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0424,24.0276,37.9328,61.0396,0.0242,0.0087,0.0013,0.0363,0.0155,0.0372,543.21,857.5759,1379.9696,0.5477,0.1967,0.029,0.8199,0.3514,0.8412,-0,0,0,0,22.6078,22.6078,22.6078,0.0029
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,156,4,57,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0537,30.474,48.1099,77.4161,0.0307,0.011,0.0016,0.046,0.0197,0.0472,536.7635,847.3988,1363.5932,0.5412,0.1944,0.0287,0.8102,0.3472,0.8312,0,0,0,0,17.6138,17.6138,17.6138,0.0029
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,175,2,75,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0603,34.1856,53.9694,86.845,0.0345,0.0124,0.0018,0.0516,0.0221,0.0529,533.052,841.5393,1354.1643,0.5374,0.1931,0.0285,0.8046,0.3448,0.8255,-0,0,0,0,15.5929,15.5929,15.5929,0.0029
CRMS0224,Wetland: Estuarine Emergent,215.5916,463.2255,329.3042,1918.1409,45950.8201,662.5361,2440.6978,0.3669,199.4783,0,2,0.8562,201,8,93,3103.2339,0,0.2135,0.7865,878.1277,0.7545,662.5361,2903.9233,0.8405,2440.6978,991.8403,0.668,662.5361,0.1438,95.2985,0.0961,4358.8387,0.5599,2440.6978,0.6331,1545.1891,0.3545,0,1640.4876,47591.3077,0.0345,1640.4876,4743.7215,0.1397,0.5145,0.3458,52941.9867,0.0187,0.0823,0.8989,0.1216,199.4783,0.0042,1839.9659,567.2376,895.5087,1441.0093,2903.7556,0.0692,39.2646,61.9877,99.7477,0.0396,0.0142,0.0021,0.0593,0.0254,0.0608,527.973,833.521,1341.2616,0.5323,0.1912,0.0282,0.7969,0.3415,0.8176,-0,0,0,0,13.4465,13.4465,13.4465,0.0029
